account,day_of_week,hour_of_day,roas,conv_rate
Account 3,Monday,5,0.540837847,0.033678756
Account 1,Friday,16,0.53800845,0.026246719
Account 1,Saturday,7,0.415075941,0.031578947
Account 1,Monday,5,0.440621125,0.018469657
Account 3,Saturday,6,1.781717802,0.053050398
Account 1,Friday,15,0.280016154,0.018918919
Account 1,Tuesday,21,0.309510602,0.021621622
Account 3,Thursday,6,0.387512208,0.019444444
Account 1,Saturday,21,0.171455691,0.016853933
Account 1,Friday,14,0.709262253,0.045325779
Account 3,Friday,6,1.257736891,0.028571429
Account 1,Thursday,21,0.650177014,0.037142857
Account 3,Wednesday,6,0.209586444,0.00862069
Account 3,Saturday,22,0.198520161,0.011527378
Account 3,Wednesday,22,0.048582073,0.008695652
Account 1,Thursday,6,0.465372841,0.041420118
Account 3,Tuesday,22,0.238317616,0.008902077
Account 1,Tuesday,5,0.279045398,0.015015015
Account 3,Tuesday,5,0.508930876,0.018292683
Account 1,Friday,6,0.219934663,0.019480519
Account 1,Wednesday,6,0.492302779,0.022875817
Account 3,Sunday,23,0.506194003,0.023026316
Account 3,Thursday,22,0.171040536,0.006666667
Account 1,Saturday,6,0.094356296,0.016949153
Account 3,Monday,23,0.770440252,0.020689655
Account 3,Thursday,5,0.371529412,0.014705882
Account 1,Sunday,23,0.497886133,0.018382353
Account 3,Friday,5,0.678247943,0.011111111
Account 3,Friday,22,0.374443807,0.014981273
Account 1,Friday,21,0.112432809,0.022988506
Account 3,Wednesday,5,0.588941162,0.031007752
Account 3,Sunday,0,0.646907485,0.027131783
Account 1,Thursday,22,0.285527029,0.015564202
Account 1,Wednesday,22,0.58087277,0.01984127
Account 1,Monday,4,0.102771722,0.012
Account 1,Saturday,22,1.361123697,0.020080321
Account 1,Wednesday,5,0.561380025,0.036585366
Account 1,Sunday,4,0.934107964,0.040816327
Account 1,Friday,5,0.272245577,0.024590164
Account 1,Monday,23,0.020173741,0.004098361
Account 1,Tuesday,22,0.227083718,0.008264463
Account 3,Sunday,4,0.437738173,0.01659751
Account 1,Sunday,0,0.306759174,0.012658228
Account 1,Friday,3,0,0
Account 1,Thursday,5,0.275812672,0.035087719
Account 3,Monday,4,0,0
Account 3,Saturday,5,0.257452444,0.022222222
Account 3,Wednesday,23,0.360780238,0.02739726
Account 1,Saturday,5,0.621200786,0.036866359
Account 1,Tuesday,23,0.712777903,0.009302326
Account 3,Tuesday,23,0.927594633,0.038277512
Account 3,Monday,0,0.679688626,0.014492754
Account 1,Friday,22,0.243512498,0.024509804
Account 1,Tuesday,4,0.071184242,0.009852217
Account 1,Tuesday,0,1.075279203,0.02020202
Account 3,Saturday,23,0.156746636,0.010152284
Account 1,Sunday,3,0.014593988,0.005102041
Account 3,Tuesday,4,0.03893868,0.005102041
Account 3,Wednesday,4,0.074179743,0.005291005
Account 1,Thursday,23,1.529276758,0.031746032
Account 3,Friday,23,0.557034796,0.016129032
Account 1,Monday,0,0.593348535,0.016393443
Account 1,Saturday,23,0.279341792,0.010989011
Account 1,Thursday,4,0.16244394,0.005555556
Account 3,Thursday,23,0.085348889,0.011173184
Account 3,Friday,4,0.44939715,0.022727273
Account 1,Sunday,1,0.560391652,0.017142857
Account 1,Wednesday,23,0.12784364,0.011764706
Account 3,Tuesday,0,1.810247809,0.064705882
Account 3,Saturday,4,0.243860749,0.017751479
Account 3,Sunday,1,0.34765898,0.012345679
Account 3,Tuesday,3,0.350779133,0.0125
Account 3,Thursday,4,0.803840878,0.047297297
Account 1,Monday,3,0,0
Account 3,Monday,3,0.322689592,0.01369863
Account 1,Wednesday,4,0.25,0.006849315
Account 1,Friday,23,0,0
Account 3,Sunday,3,2.35853007,0.048951049
Account 1,Saturday,4,1.574976287,0.050359712
Account 1,Monday,1,0.653506029,0.029850746
Account 1,Tuesday,3,0,0
Account 3,Sunday,2,0.065408335,0.008403361
Account 3,Wednesday,3,0.56070676,0.025423729
Account 1,Wednesday,0,1.52173913,0.026315789
Account 3,Wednesday,0,3.51598129,0.098214286
Account 3,Monday,1,0.065401754,0.026785714
Account 3,Thursday,0,0,0
Account 1,Thursday,0,0.256444482,0.018181818
Account 3,Thursday,3,0.780650878,0.054545455
Account 3,Tuesday,2,1.263017968,0.027272727
Account 3,Monday,2,0.411540715,0.009345794
Account 3,Friday,3,0.241231285,0.018691589
Account 1,Tuesday,1,0.201762227,0.009433962
Account 3,Friday,0,0.890175398,0.019047619
Account 1,Friday,0,0.261442244,0.009708738
Account 3,Saturday,0,0.485696736,0.009803922
Account 1,Tuesday,2,0,0
Account 1,Sunday,2,17.49619482,0.019607843
